Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen,BUF,519.2,332.5,"3,904.10",29,10.4,115.9,572.5,10.7,3.4,376.6
Lamar Jackson,BAL,475.6,317.8,"3,859.30",32.3,8.2,134.7,828.1,3.9,4.5,372.4
Jalen Hurts,PHI,460,310.9,"3,530.80",23.6,8.6,147.3,633.6,12.7,3.9,358.7
Jayden Daniels,WAS,528.2,359,"3,853.70",26.7,10.5,137.5,750.1,5.7,2.5,354.7
Joe Burrow,CIN,620.9,430.1,"4,625.60",35.7,10.4,48.2,179.7,2.1,3.8,340.4
Patrick Mahomes II,KC,601.1,407,"4,259.50",30.3,12.1,75.1,365.6,2.8,2.5,328.1
Baker Mayfield,TB,551.5,382.1,"4,151.00",32.7,14.6,64.5,288.5,2.6,3.9,318.5
Kyler Murray,MIN,538.5,365,"3,808.40",24.2,11.1,88.6,551.7,5.1,3.8,316
Brock Purdy,SF,520.7,348.4,"4,276.10",27,12.4,64.6,279,3.6,2.9,310.3
Bo Nix,DEN,556.5,363.5,"3,789.90",27.4,12,88.7,423.3,3.5,2,308.8
Justin Fields,KC,494,307.2,"3,232.90",19.3,10.8,135.2,744.3,6.1,3.8,299.2
J.J. McCarthy,MIN,557.5,363.7,"4,045.60",28.5,14.4,57.4,258.2,2.1,3.8,292.1
Dak Prescott,DAL,602.3,396.2,"4,255.90",27.6,12.1,42.4,178.1,1.9,3.1,291.3
Justin Herbert,LAC,534.2,350.3,"3,943.90",25.6,8.5,65.4,272,2.6,2.5,289.7
Caleb Williams,CHI,559.1,355.2,"3,750.60",23.8,10.3,86.7,469.9,2.6,4.5,288.5
Jared Goff,DET,547.7,378.7,"4,336.60",29.9,11.4,30.3,61.5,0.5,2.9,284.9
C.J. Stroud,HOU,558.5,358.8,"4,056.70",24.9,10.6,58.7,256.8,1.7,3.7,279.7
Drake Maye,NE,516.5,345,"3,568.80",22.7,12.7,77.2,491.5,3.1,4.8,278.8
Jordan Love,GB,505.5,324.4,"3,888.30",27.6,12.1,41.5,166.9,1.9,2.5,276.8
Trevor Lawrence,JAC,549.7,352.8,"3,973.40",23.4,13,54.4,252.2,3.1,4.1,275.2
Bryce Young,CAR,555.4,352.1,"3,638.60",21.7,12,52.8,294.8,3.5,3.5,263.9
Michael Penix Jr.,ATL,541.3,346.7,"3,913.20",23.5,13.4,52.1,196.6,2.1,3.2,263
Tua Tagovailoa,ATL,573.3,398,"4,133.40",26,11.9,26.8,86.1,0.5,3.9,261.6
Geno Smith,NYJ,565.2,378.8,"3,952.90",22,13.4,54.3,242.4,1.7,2.8,261.4
Matthew Stafford,LAR,544.7,357.4,"4,023.00",25.7,10.9,29.3,72.6,0.7,2.5,259.5
Cam Ward,TEN,529.3,337.2,"3,642.60",21.8,13.8,70.8,330.1,2.4,4.1,258.1
Sam Darnold,SEA,544.1,356.5,"3,793.50",22.7,13.8,59.5,205.3,1.9,3.8,252.7
Daniel Jones,IND,441.6,275.9,"2,881.90",17.2,9.9,92.2,408.4,3.4,3.4,228.7
Spencer Rattler,NO,447.7,270.4,"2,831.40",15.2,9.8,44.1,235.2,1.2,4,186.8
Joe Flacco,CIN,418.4,263,"2,756.10",14.1,11.3,15.2,43.5,0.4,3.8,155
Anthony Richardson Sr.,IND,68.5,38.9,661.4,3.6,3.2,17.4,146.4,1.4,1.2,58.4
Tyler Shough,NO,102.2,64.3,884.8,4.3,3.5,14.2,75.3,0.4,1.3,56.3
Jaxson Dart,NYG,114,71.8,799.4,4.4,3.2,12.1,62.3,0.5,1.1,53.5
Dillon Gabriel,CLE,126.2,77.9,793.2,3.9,2.9,11.4,45.2,0.4,0.8,50.1
Shedeur Sanders,CLE,95.2,58.2,649.2,3.1,2.5,11.8,37,0.1,1,38.5
Jalen Milroe,SEA,16.2,10.2,130.4,0.8,0.8,25.6,110.9,1,0.4,24.3
Mason Rudolph,PIT,20.4,13.5,151.5,0.9,0.7,18.8,67.7,0.5,0,18.8
Jimmy Garoppolo,LAR,28.2,18.3,209.4,1.6,0.7,1,2.9,0,0,14.2
Jameis Winston,NYG,11,7,199.3,1.3,0.7,2,11.3,0,0,13.8
Malik Willis,MIA,20,12.6,157.7,0.9,0.3,4.6,28.2,0.2,0,13.7
Marcus Mariota,WAS,22.6,15.2,172.5,1.1,0.3,4.5,22.3,0,0,13.1
Mac Jones,SF,21.9,14,172.3,0.9,0.7,1.8,7.5,0,0,10.6
Zach Wilson,NO,19.9,12.9,153.7,0.9,0.5,2.6,10.3,0,0,10.3
Aidan O'Connell,LV,22.5,14.5,158.5,1,0.5,1,3,0,0,10.1
Jake Browning,TB,15,10.2,135.7,1,0.4,1.1,8.4,0,0,9.7
Jacoby Brissett,ARI,18.3,12.1,147.9,0.7,0.5,1.8,9.5,0,0,9.3
Gardner Minshew II,ARI,19,12.7,151.7,1,0.5,1.8,7.8,0,0.7,8.9
Andy Dalton,PHI,16.3,10.8,129.6,0.9,0.7,1.3,6,0,0,8.9
Tanner McKee,PHI,11.1,7.1,125.1,0.7,0.4,3.1,8,0,0,8.4
Joe Milton III,DAL,14.6,9.5,123.3,0.6,0.4,1.4,11.8,0,0,8.3
Kenny Pickett,CAR,13.8,9,123.2,0.6,0.3,1.4,8.5,0,0,7.9
Tyson Bagent,CHI,13.4,8.7,115,0.6,0.4,1.8,11.1,0,0,7.9
Nick Mullens,JAC,13,8.4,127.1,0.7,0.6,1.4,6.5,0,0,7.8
Mitchell Trubisky,TEN,12.4,8.2,118.1,0.7,0.4,1.8,7.9,0,0,7.8
Teddy Bridgewater,DET,12.2,8.5,120.6,0.7,0.6,1.7,8,0,0,7.7
Jarrett Stidham,DEN,12.9,8.4,116.2,0.7,0.4,1.5,7.6,0,0,7.7
Davis Mills,HOU,13.3,8,116.1,0.7,0.4,1.4,6.4,0,0,7.6
Carson Wentz,MIN,14.5,9.4,109.2,0.7,0.6,2.7,11.6,0,0,7.5
Kirk Cousins,LV,12.8,8.3,129.9,0.7,0.6,1.7,6.3,0,0.4,7.3
Trey Lance,LAC,12.3,7.4,110.9,0.4,0.4,1.5,12.5,0,0,7
Brandon Allen,NYG,12.1,7.6,110.2,0.6,0.6,1.4,5,0,0,6.8
Drew Lock,SEA,11.4,7.4,109.2,0.6,0.6,1.3,6,0,0,6.8
Sam Howell,DAL,4.9,3,91.3,0.8,0.4,0,4.7,0,0,6.8
Kyle Allen,BUF,13.7,9.2,107.6,0.6,0.1,1.6,1.3,0,0,6.7
Deshaun Watson,CLE,0,0,99,0.5,0.5,0,12,0,0,6.7
Hendon Hooker,TEN,0,0,103.5,0.5,0.5,0,8,0,0,6.4
Quinn Ewers,MIA,0,0,100,0.5,0.5,0,7,0,0,6.2
Graham Mertz,HOU,8,5.5,59.5,0.5,0,1,4,0,0,4.8
Will Howard,PIT,6,4,44.5,0.5,0,1,3,0,0,4.1
Josh Johnson,CIN,5.5,3.4,36.3,0.2,0.2,0,0,0,0,2
Case Keenum,CHI,0,0,0,0,0,0,0,0,0,0
Trevor Siemian,ATL,0,0,0,0,0,0,0,0,0,0
Jeff Driskel,WAS,0,0,0,0,0,0,0,0,0,0
Tyler Huntley,BAL,0,0,0,0,0,0,0,0,0,0
Shane Buechele,BUF,0,0,0,0,0,0,0,0,0,0
Sam Ehlinger,DEN,0,0,0,0,0,0,0,0,0,0
Sean Clifford,CIN,0,0,0,0,0,0,0,0,0,0
Desmond Ridder,GB,0,0,0,0,0,0,0,0,0,0
Kyle McCord,GB,0,0,0,0,0,0,0,0,0,0
Stetson Bennett IV,LAR,0,0,0,0,0,0,0,0,0,0
Bailey Zappe,NYJ,0,0,0,0,0,0,0,0,0,0
Chris Oladokun,KC,0,0,0,0,0,0,0,0,0,0
Jake Haener,KC,0,0,0,0,0,0,0,0,0,0
Riley Leonard,IND,0,0,0,0,0,0,0,0,0,0
Tommy DeVito,NE,0,0,0,0,0,0,0,0,0,0
Kurtis Rourke,SF,0,0,0,0,0,0,0,0,0,0
Cam Miller,MIA,0,0,0,0,0,0,0,0,0,0
